iso_2,lyrics,iso_a3
EC," O homeland, we greet you a thousand times! Glory be to you, O homeland, glory be to you! Your breast overflows with joy and peace, And we see your radiant face shining More brightly than the sun  The worthy sons of the soil Which Pichincha on high is adorning, Always acclaimed you as sovereign lady And shed their blood for you God observed and accepted the sacrifice, And that blood was the prolific seed Of other heroes whom the world in astonishment saw Arising in thousands around you   For these steel armed heroes   Nothing in the land was invincible   And from the valley to the high Sierra   Could the clamour of the struggle be heard;  After the struggle, victory came flying   And freedom followed on victory’s heel   And the toppled lion could be heard,   As it roared in impotence and vanity  ",ECU
EE," My fatherland, my joy and happiness, How beautiful you are! I shall not find such ever In this huge wide world Which would be so dear to me As you, my fatherland!  You have given me birth And raised me up; I shall thank you always And remain faithful to you ’til death, To me most beloved are you, My precious fatherland!  May God watch over you, My precious fatherland! Let Him be your defender And provide bountiful blessings For whatever you undertake, My precious fatherland!",EST
EG," My homeland, my homeland, my homeland, My love and my heart are for thee My homeland, my homeland, my homeland, My love and my heart are for thee  Egypt! O mother of all lands, My hope and my ambition, How can one count The blessings of the Nile for mankind?   Egypt! Most precious jewel, Shining on the brow of eternity! O my homeland, be for ever free, Safe from every foe!   Egypt! Noble are thy children, Loyal, and guardians of thy soil In war and peace We give our lives for thy sake ",EGY
EH,"O sons of the Sahara! In the battlefield, you are torch holders in the long road Make revolution in our nation and follow this path for her sake Cut off the head of the invader Cut off the head of the invader O revolutionaries, the homeland will be glorious Cut off the estates in this region Remove in war the causes for protest and abandon it; no submission, no yielding No agent, no invader, no agent, no invader You who ask about us: we are the ones who drive the transforming struggle We are the ones who smash that idol, we are the ones who understand the beautiful lesson We are the people of the path; we are the people of the path We are the ones who revealed the path against the raid, the one that burns up the raiders It is the war to erase the oppressor and establish the right of the laborers We are the people of the path; We are the people of the path The uprising is for the people and will advance in the Arab lands It will produce unity forever in the hearts and will establish justice and democracy Every century, every generation, every century, every generation",ESH
ER,"PRELUDE: Eritrea, Eritrea, Eritrea, Her enemy decimated, and her sacrifices vindicated by liberation  Steadfast in her goal, symbolizing endurance, Eritrea, the pride of her oppressed people, proved that the truth prevails  Eritrea, Eritrea, holds her rightful place in the world  Dedication that led to liberation, Will build up and make her green, We shall honor her with progress, We have a word to her to embellish ",ERI
ET,"Respect for citizenship is strong in our Ethiopia; National pride is seen, shining from one side to another For peace, for justice, for the freedom of peoples, In equality and in love we stand united Firm of foundation, we do not dismiss humanness; We are peoples who live through work Wonderful is the stage of tradition, mistress of proud heritage, Mother of natural virtue, mother of a valorous people We shall protect you – we have a duty; Our Ethiopia, live! And let us be proud of you!",ETH
FI," Our land, our land, our fatherland, Sound loud, O name of worth! No mount that meets the heaven’s band No hidden vale, no wavewashed strand Is loved, as is our native North  Our own forefathers’ earth No mount that meets the heaven’s band No hidden vale, no wavewashed strand Is loved, as is our native North  Our own forefathers’ earth  Thy blossom, in the bud laid low, Yet ripened shall upspring See! From our love once more shall grow Thy light, thy joy, thy hope, thy glow! And clearer yet one day shall ring  The song our land shall sing See! From our love once more shall grow Thy light, thy joy, thy hope, thy glow! And clearer yet one day shall ring  The song our land shall sing",FIN
FJ," Blessing grant oh God of nations on the isles of Fiji As we stand united under noble banner blue And we honour and defend the cause of freedom ever Onward march together God bless Fiji   For Fiji, ever Fiji, let our voices ring with pride For Fiji ever Fiji her name hail far and wide, A land of freedom , hope and glory to endure whatever befall May God bless Fiji Forever more!  Blessing grant oh God of nations on the isles of Fiji Shores of golden sand and sunshine, happiness and song Stand united , we of Fiji, fame and glory ever Onward march together God bless Fiji ",FJI
FK," In my heart there’s a call for the isles far away Where the wind from the Horn often wanders at play Where the kelp moves and swells to the wind and the tide And penguins troop down from the lonely hillside   Those isles of the sea are calling to me The smell of the camp fire a dear memory Though far I may roam, some day I’ll come home To the islands, the Falklands, the isles of the sea  There’s a camp house down yonder I’m longing to see,  Though it’s no gilded palace it’s there I would be Just to be there again I would race o’er the foam,  For that lone house so far is my own home sweet home   Now we’re off to the Falklands, so wild and so free,  Where there’s tussock and kelp and the red diddle-dee,  And the wild rugged beauty that thrills more than me Is bred in the bones on the isles of the sea ",FLK
FM," ‘Tis here we are pledging, with heart and with hand, Full measure of devotion to thee, our native land, Full measure of devotion to thee, our native land  Now all join the ,  let union abide Across all Micronesia join hands on every side, Across all Micronesia join hands on every side  We all work together,  with hearts, voice and hand, Till we have made these islands another promised land, Till we have made these islands another promised land",FSM
FO," My land, oh most beauteous, possession most dear, Thou drawest me to thee, embracing me near; becalmed in the summer, in winter snow covered, magnificant islands, by God named beloved The name which men gave thee when they thee discovered, Oh, God bless thee, Faroes my land  Bright gleam, which in summer makes hill-tops so fair; rough gale, which in winter drives men to despair; oh life taking storm, oh conquest of soul, all making sweet music uniting the whole Each hoping and trusting, inspiring us all, To guard thee, O Faroes my land  And therefore, I kneel down, to Thee God, in prayer, may peaceful my lot be, and do thou me spare, my soul cleansed; in glory; I ask Thee to bless, when I raise my banner and venture the stress The sign of my task, be it lifted on high, To guard thee, O Faroes my land",FRO
FR," Arise children of the fatherland The day of glory has arrived Against us tyranny’s Bloody standard is raised The bloody standard is raised Listen to the sound in the fields The howling of these fearsome soldiers They are coming into our midst To cut the throats of your sons and consorts  To arms citizens Form you battalions March, march Let impure blood Water our furrows  What do they want this horde of slaves Of traitors and conspiratorial kings? For whom these vile chains These long-prepared irons? These long-prepared irons? Frenchmen, for us, ah! What outrage What methods must be taken? It is we they dare plan To return to the old slavery!   What! These foreign cohorts! They would make laws in our courts! What! These mercenary phalanxes Would cut down our warrior sons Cut down our warrior sons Good Lord! By chained hands Our brow would yield under the yoke The vile despots would have themselves be The masters of destiny   Tremble, tyrants and traitors The shame of all good men Tremble! Your parricidal schemes Will receive their just reward Will receive their just reward Against you we are all soldiers If they fall, our young heros France will bear new ones Ready to join the fight against you   Frenchmen, as magnanimous warriors Bear or hold back your blows Spare these sad victims Who with regret are taking up arms against us With regret are taking up arms against us But not these bloody despots These accomplices of Bouillé All these tigers who pitilessly Are ripping open their mothers’ breasts   Sacred Love for the Fatherland Lead and support our avenging arms Liberty, cherished liberty Join the struggle with your defenders Join the struggle with your defenders Under our flags, let victory Hasten to you virile force So that in death your enemies See your triumph and our glory!   We shall enter into the pit When our elders will no longer be there There we shall find their ashes And the mark of their virtues And the mark of their virtues We are much less jealous of surviving them Than of sharing their coffins We shall have the sublime pride Of avenging or joining them ",FRA
GA," United in concord and brotherhood, Awake, Gabon, dawn is at hand Stir up the spirit that thrills and inspires us! At last we rise up to attain happiness At last we rise up to attain happiness  Dazzling and proud, the sublime day dawns, Dispelling for ever injustice and shame May it still advance and calm our fears, May it promote virtue and banish warfare   Yes, may the happy days of which our ancestors dreamed  Come for us at last, rejoicing our hearts,  And banish the sorcerers, those perfidious deceivers  Who sowed poison and spread fear    So that, in the eyes of the world and of friendly nations,  The immortal Gabon may maintain her good repute,  Let us forget our quarrels, let us build together  The new structure of which we all have dreamed    From the shores of the Ocean to the heart of the forest,  Let us remain vigilant, without weakness and without hatred!  Around this flag which leads us to honour,  Let us salute the Fatherland and ever sing!  ",GAB
GB," God save our gracious King, Long live our noble King, God save the King: Send him victorious, Happy and glorious, Long to reign over us: God save the King  O Lord, our God, arise, Scatter his enemies, And make them fall Confound their politics, Frustrate their knavish tricks, On Thee our hopes we fix, God save us all  Thy choicest gifts in store, On him be pleased to pour; Long may he reign: May he defend our laws, And ever give us cause With heart and voice to sing God save the King",GBR
GD,"Hail! Grenada, land of ours, We pledge ourselves to thee, Heads, hearts and hands in unity To reach our destiny Ever conscious of God, Being proud of our heritage, May we with faith and courage Aspire, build, advance As one people, one family God bless our nation",GRD
GE,"My icon is my motherland, And icon-stand is whole world Bright mounts and valleys Are shared with God Today our freedom Sings to the glory of future, The dawn star rises up And shines out between two seas Praise be to the liberty, Liberty be praised!",GEO
GG," Sarnia; dear Homeland, Gem of the sea Island of beauty, my heart longs for thee Thy voice calls me ever, in waking, or sleep, Till my soul cries with anguish, my eyes ache to weep In fancy I see thee, again as of yore, Thy verdure clad hills and thy wave beaten shore Thy rock sheltered bays, ah; of all thou art best, I’m returning to greet thee, dear island of rest  Sarnia Cherie Gem of the sea Home of my childhood, my heart longs for thee Thy voice calls me ever, forget thee I’ll never, Island of beauty Sarnia Cherie  I left thee in anger, I knew not thy worth Journeyed afar, to the ends of the earth Was told of far countries, the heav’n of the bold, Where the soil gave up diamonds, silver and gold The sun always shone, and “race” took no part, But thy cry always reached me, its pain wrenched my heart So I’m coming home, thou of all art the best Returning to greet thee, dear island of rest ",GGY
GH," God bless our homeland Ghana And make our nation great and strong, Bold to defend forever The cause of Freedom and of Right; Fill our hearts with true humility, Make us cherish fearless honesty, And help us to resist oppressors’ rule With all our will and might evermore  And help us to resist oppressors’ rule With all our will and might evermore  Hail to thy name, O Ghana, To thee we make our solemn vow: Steadfast to build together A nation strong in Unity; With our gifts of mind and strength of arm, Whether night or day, in the midst of storm, In ev’ry need, whate’er the call may be, To serve thee, Ghana, now and evermore In ev’ry need, whate’er the call may be, To serve thee, Ghana, now and evermore  Raise high the flag of Ghana And one with Africa advance; Black star of hope and honor To all who thirst for liberty; Where the banner of Ghana free flies, May the way to freedom truly lie; Arise, arise, O sons of Ghanaland, And under God march on for evermore! Arise, arise, O sons of Ghanaland, And under God march on for evermore!",GHA
GI,"Gibraltar, Gibraltar,  the rock on which I stand May you be forever free,  Gibraltar, my own land  Mighty pillar, rock of splendour,  guardian of the sea Port of hope in times of need,  rich in history  Gibraltar, Gibraltar,  the rock on which I stand May you be forever free,  Gibraltar, my own land  God give grace to this our homeland,  help us to live as one Strong in freedom, truth and justice,  let this be our song;  Gibraltar, Gibraltar,  the rock on which I stand May you be forever free,  Gibraltar! Gibraltar! my own land",GIB
GL," Our country, who’s become so old  your head all covered with white hair  Always held us, your children,  in your bosom providing the riches of your coasts   As middle children in the family  we blossomed here Greenland,  we want to call ourselves before your proud  and honourable head   With a burning desire to develop  what you have to give, renewing,  Removing your obstacles our desire  to move is forward, forward   The way of matured societies  is our zealous goal to attain;  the effect of speech and letters  we long to behold   Humbleness is not the course  Greenland wake up and be proud!  A dignified life is our goal;  couragously take a stand",GRL
GM,"For The Gambia, our homeland We strive and work and pray, That all may live in unity, Freedom and peace each day Let justice guide our actions Towards the common good, And join our diverse peoples To prove man’s brotherhood We pledge our firm allegiance, Our promise we renew; Keep us, great God of nations, To The Gambia ever true",GMB
GN,"People of Africa! The historic past! Sing the hymn of a Guinea proud and young Illustrious epic of our brothers Who died on the field of honour while liberating Africa! The people of Guinea, preaching Unity, Call to Africa Liberty! The voice of a people Who call all her brothers to find their way again Liberty! The voice of a people Who call all her brothers of a great Africa Let us build African Unity in a newly found independence!",GIN
GQ,"We walk along the path Of our immense joy In brotherhood, without division, We sing Liberty! After two centuries of being subdued Under colonial domination, In fraternal union, without discrimination, We sing Liberty! We cry, long live a free Guinea, And we defend our liberty  We always sing, free Guinea, And we always preserve our unity We cry, long live a free Guinea, And we defend our liberty We always sing, free Guinea, And we preserve and we preserve our national independence And we preserve and we preserve our national independence",GNQ
GR,"I shall always recognise you By the dreadful sword you hold, As the earth, with searching vision, You survey, with spirit bold  ‘Twas the Greeks of old whose dying Brought to birth our spirit free Now, with ancient valour rising, Let us hail you, oh Liberty! Now, with ancient valour rising, Let us hail you, oh Liberty! Now, with ancient valour rising, Let us hail you, oh Liberty!",GRC
GT," Fortunate Guatemala! May your altars Never be profaned by cruel men May there never be slaves who submit to their yoke, Or tyrants who deride you If tomorrow your sacred soil Should be threatened by foreign invasion, Your fair flag, flying freely in the wind, Will call to you: Conquer or die  Your fair flag, flying freely in the wind, Will call to you: Conquer or die; For your people, with heart and soul, Would prefer death to slavery  From your old and hard chains  You forged, with an ire-driven hand,  The plow that fertilizes the soil  And the sword that saves honor   Our fathers fought one day,  Lit up in patriotic burning  And they were able, without bloody clash,  To place you on a throne of love   And they were able, without bloody clash,  To place you on a throne of love,  That our Nation, in energetic assent,  Gave life to the ideal redeemer   Your emblem shows a piece of the sky  In which a cloud gets its whiteness  Wretched is he who dares in madness  stain your colors   Well, your brave and proud sons  who admire the peace within  will never avoid the rough battles  if they are to defend their land and their home    They will never avoid the rough battles  if they are to defend their land and their home  that honor is the idea that reigns their souls  and the altar of the mother country their altar   Lying in the magnificent Andes  with two oceans at hearing distance  under the wing of seeds and gold  you become entranced from the beautiful quetzal   Native bird that lives in your seal  protector that protects your soil  hopefully he will fly high  more than the condor and the royal eagle!    Hopefully he will fly high  more than the condor and the royal eagle  and in his wings, raise up to the sky:  Guatemala, your immortal name!",GTM
GU," Stand ye Guamanians for your country  And sing her praise from shore to shore  For her honor, for her glory  Exalt our island forever more  For her honor, for her glory  Exalt our island forever more   May everlasting peace reign o’er us,  May heaven’s blessing to us come  Against all perils, do not forsake us,  God protect our Isle of Guam  Against all perils, do not forsake us,  God protect our Isle of Guam",GUM
GW," Sun, sweat, verdure and sea, Centuries of pain and hope; This is the land of our ancestors Fruit of our hands, Of the flower of our blood: This is our beloved country  Long live our glorious country! The banner of our struggle Has fluttered in the skies Forward, against the foreign yoke! We are going to build Peace and progress In our immortal country! Peace and progress In our immortal country!  Branches of the same trunk, Eyes in the same light; This is the force of our unity! The sea and the land, The dawn and the sun are singing That our struggle has borne fruit! ",GNB
GY," Dear land of Guyana, of rivers and plains; Made rich by the sunshine, and lush by the rains, Set gem like and fair, between mountains and sea, Your children salute you, dear land of the free   Green land of Guyana, our heroes of yore, Both bondsmen and free, laid their bones on your shore This soil so they hallowed, and from them are we, All sons of one Mother, Guyana the free  Great land of Guyana, diverse though our strains, We are born of their sacrifice, heirs of their pains, And ours is the glory their eyes did not see, One land of six peoples, united and free  Dear land of Guyana, to you will we give, Our homage, our service, each day that we live; God guard you, great Mother, and make us to be More worthy our heritage, land of the free",GUY
HN," Your flag is a splendour of sky Crossed with a band of snow; And there can be seen, in its sacred depths, Five pale blue stars In your emblem, which a rough sea With its wild waves protects, Behind the bare summit of a volcano, A star brightly shines   Like an Indian maiden you have been sleeping, Lulled by the resonant song of your seas, When, set in your golden valleys, The bold navigator found you; And on seeing, enraptured, your beauty, And feeling your enchantment, He dedicated a kiss of love to the blue hem of your splendid mantle   From a country where the sun rises, Beyond the blue Atlantic, That man who had dreamt you In search of you he launched to sea When you raised your pale forehead, In the lively anxiousness of your hope, Under the gentle dome of your sky Already floated a strange banner   It was useless that your beloved Indian Rushed into the fight with ire, Because, covered with his blood, Lempira, In the deep night he sank; And of the heroic deed, in memory, The legend alone has kept A sepulcher in a forgotten place, And the severe profile of a mountain peak   For three centuries your children heard The imperious mandate of the master; For three centuries your useless complaint In the blue atmosphere was lost But one glorious day your ear Perceived, powerful and distant, That there, far away, over the Atlantic, Indignantly, a lion roared   It was France, the free, the heroic, Which in its dreams of centuries slept, Awoke irate to life At the virile protest of Danton: It was France, who sent to the death The head of the consecrated King, And which built up proudly at its side, The altar of the goddess of Reason   You also, oh my country!, arose From your servile deep sleep; You also showed the world The infamous shackle destroyed And in your blessed soil, behind the tall Hair of the wild jungle, Like a bird of black feathers, The fleeting colony was lost   To guard this sacred emblem We shall march, oh fatherland, to our death; Our death will be honoured If we die thinking of your love Having defended your holy flag, And shrouded in its glorious folds, Many, Honduras, shall die for you, But shall fall in honour ",HND
HR," Our beautiful homeland, Oh dear, heroic land, Fatherland of ancient glory, May you always be happy!  Dear, as much as you are glorious, Only you are dear to us Dear, where your land is flat, Dear, where it is mountainous  Flow Sava, Drava flow, Nor you, Danube, lose your power, Azure sea, tell to the world That a Croat loves his nation  As long as sun warms his ploughed land, As long as storms lash his oak trees, As long as the grave hides his dead, As long as his living heart beats!",HRV
HT," For our country, for our forefathers, United let us march, united let us march Let there be no traitors in our ranks! Let us be masters of our soil United let us march, united let us march For our country, for our forefathers Let us march, let us march, let us march united For our country, for our forefathers  For our forebears, for our country  Let us toil joyfully, let us toil joyfully May the fields be fertile  And our souls take courage  Let us toil joyfully, let us toil joyfully For our forebears, for our country  Let us toil, let us toil, let us toil joyfully For our forebears, for our country   For our country and for our forefathers,  Let us train our sons, let us train our sons Free, strong, and prosperous,  We shall always be as brothers  Let us train our sons, let us train our sons For our country and for our forefathers  Let us train, let us train, let us train our sons For our country and for our forefathers   For our forebears, for our country,  Oh God of the valiant, Oh God of the valiant!  Take our rights and our life  Under your infinite protection,  Oh God of the valiant, Oh God of the valiant! For our forebears, for our country  Oh God, Oh God, Oh God of the valiant! For our forebears, for our country   For the flag, for our country  To die is a fine thing, to die is a fine thing! Our past cries out to us:  Have a disciplined soul!  To die, to die, to die is a fine thing For the flag, for our country",HTI
HU," O Lord, bless the nation of Hungary With your grace and bounty Extend toward it your guarding arm During strife with its enemies Long torn by ill fate Bring upon it a time of relief This nation has suffered for all sins Of the past and of the future!  You brought our ancestors up Over the Carpathians’ holy peaks By You was won a beautiful homeland For Bendegúz’s sons And wherever flow the rivers of The Tisza and the Duna Árpád our hero’s descendants Will root and bloom  For us on the plains of the Kuns You ripened the wheat In the grape fields of Tokaj You dripped sweet nectar Our flag you often planted On the wild Turk’s earthworks And under Mátyás’ grave army whimpered Vienna’s “proud fort”  Hajh, but for our sins Anger gathered in Your bosom And You struck with Your lightning From Your thundering clouds Now the plundering Mongols’ arrows You swarmed over us Then the Turks’ slave yoke We took upon our shoulders  How often came from the mouths Of Osman’s barbarian nation Over the corpses of our defeated army A victory song! How often did your own son agress My homeland, upon your breast, And you became because of your own sons Your own sons’ funeral urn!  The fugitive hid, and towards him The sword reached into his cave Looking everywhere he could not find His home in his homeland Climbs the mountain, descends the valley Sadness and despair his companions Sea of blood beneath his feet Ocean of flame above  Castle stood, now a heap of stones Happiness and joy fluttered, Groans of death, weeping Now sound in their place And Ah! Freedom does not bloom From the blood of the dead, Torturous slavery’s tears fall From the cold eyes of the orphans!  Redeem, O Lord, the Hungarians Who are tossed by waves of danger Extend toward it your guarding arm On the sea of its misery Long torn by ill fate Bring upon it a time of relief They who have suffered for all sins Of the past and of the future!",HUN
ID,"Indonesia, my native land The land where I shed my blood There, I stand To be the guard of my motherland  Indonesia, my nationality My nation and my homeland Let us exclaim “Indonesia unites!”  Long live my land, long live my state My nation, my people, entirely Build its soul, build its body For the Great Indonesia  Great Indonesia, independent & sovereign! My land, my country which I love Great Indonesia, independent & sovereign! Long live Great Indonesia!  Great Indonesia, independent & sovereign! My land, my country which I love Great Indonesia, independent & sovereign! Long live Great Indonesia!",IDN
IE,"Soldiers are we whose lives are pledged to Ireland; Some have come from a land beyond the wave, Sworn to be free, No more our ancient sire land Shall shelter the despot or the slave Tonight we man the bearna bhaoil In Erin’s cause, come woe or weal, ‘Mid cannons’ roar and rifles peal, We’ll chant a soldier’s song",IRL
IL,"As long as deep in the heart, The soul of a Jew yearns, And towards the East An eye looks to Zion,  Our hope is not yet lost, The hope of two thousand years, To be a free people in our land, The land of Zion and Jerusalem To be a free people in our land, The land of Zion and Jerusalem",ISR
IM," O land of our birth,  O gem of God’s earth,  O Island so strong and so fair;  Built firm as Barrool,  Thy Throne of Home Rule  Makes us free as thy sweet mountain air  When Orry, the Dane,  In Mannin did reign,  ‘Twas said he had come from above;  For wisdom from Heav’n  To him had been giv’n  To rule us with justice and love  Our fathers have told  How Saints came of old,  Proclaiming the Gospel of Peace;  That sinful desires,  Like false Baal fires,  Must die ere our troubles can cease  Ye sons of the soil,  In hardship and toil,  That plough both the land and the sea,  Take heart while you can  And think of the Man  Who toiled by the Lake Galilee   When fierce tempests smote  That frail little boat,  They ceased at His gentle command;  Despite all our fear,  The Saviour In near  To safeguard our dear Fatherland  Let storm-winds rejoice,  And lift up their voice,  No danger our homes can befall;  Our green hills and rocks  Encircle our flocks,  And keep out the sea like a wall  Our Island, thus blest,  No foe can molest;  Our grain and our fish stall increase;  From battle and sword  Protecteth the Lord,  And crowneth our nation with peace  Then let us rejoice  With heart, soul, and voice,  And in the Lord’s promise confide;  That each single hour  We trust in His power  No evil our souls can betide",IMN
IN,"Thou art the ruler of the minds of all people, Dispenser of India’s destiny Thy name rouses the hearts of Punjab, Sind, Gujarat and Maratha, Of the Dravida and Orissa and Bengal; It echoes in the hills of the Vindhyas and Himalayas, mingles in the music of Jamuna and Ganges and is chanted by the waves of the Indian Sea They pray for thy blessings and sing thy praise The saving of all people waits in thy hand, Thou dispenser of India’s destiny Victory, victory, victory to thee",IND
IQ," My homeland, My homeland Glory and beauty, Sublimity and splendor Are in your hills, Are in your hills Life and deliverance, Pleasure and hope Are in your air, Are in your Air Will I see you? Will I see you? Safe and comforted, Sound and honored Safe and comforted, Sound and honored Will I see you in your eminence? Reaching to the stars, Reaching to the stars My homeland, My homeland   My homeland, My homeland The youth will not tire, ’till your independence, or they die We will drink from death and will not be to our enemies like slaves, like slaves We do not want, We do not want An eternal humiliation nor a miserable life An eternal humiliation nor a miserable life We do not want But we will bring back our storied glory, our storied glory My homeland, My homeland   My homeland, My homeland  The sword and the pen, not the talk nor the quarrel Are our symbols, Are our symbols Our glory and our covenant and a duty to be faithful Moves us, moves us Our glory, Our glory Is an honorable cause and a waving standard Is an honorable cause and a waving standard O, behold you in your eminence Victorious over your enemies, victorious over your enemies My homeland, My homeland",IRQ
IR,"Upwards on the horizon rises the Eastern Sun, The light in the eyes of those who believe in the right Bahman – the brilliance of our Faith Your message, O Imam, of independence and freedom is imprinted on our souls O Martyrs! Your cries echo in the ears of history Enduring, continuing, eternal, The Islamic Republic of Iran",IRN
IS," Our country’s God! Our country’s God! We worship Thy name in its wonder sublime The suns of the heavens are set in thy crown By thy legions, the ages of time! With Thee is each day as a thousand years, Each thousand of years, but a day Eternity’s flow’r, with its homage of tears, That reverently passes away Iceland’s thousand years! Iceland’s thousand years! Eternity’s flow’r, with its homage of tears, That reverently passes away  Our God, our God, we bow to Thee, Our spirits most fervent we place in thy care Lord, God of our fathers from age unto age, We are breathing our holiest prayer We pray and we thank Thee a thousand years For safely protected we stand; We pray and we bring Thee our homage of tears Our destiny rest in Thy hand Iceland’s thousand years Iceland’s thousand years The hoarfrost of morning which tinted those years, Thy sun rising high, shall command!  Our country’s God! Our country’s God! Our life is a feeble and quivering reed; We perish, deprived of Thy spirit and light To redeem and uphold in our need Inspire us at morn with Thy courage and love, And lead through the days of our strife! At evening send peace from Thy heaven above, And safeguard our nation through life Iceland’s thousand years! Iceland’s thousand years! O, prosper our people, diminish our tears And guide, in Thy wisdom, through life!",ISL
IT," Italian Brothers, Italy has awakened, She has wreathed her head With the helmet of Scipio Where is Victory? She bows her head to you, You, whom God created As the slave of Rome  Italian Brothers, Italy has awakened, She has wreathed her head With the helmet of Scipio Where is Victory? She bows her head to you, You, whom God created As the slave of Rome  Let us band together, We are ready to die, We are ready to die, Italy has called us  Let us band together, We are ready to die, We are ready to die, Italy has called us! (Yes!)  We were for centuries Downtrodden and derided, because we are not one people, because we are divided Let one flag, one hope gather us all The hour has struck for us to join together  Let us unite and love one another, Union and love Show the people The way of the Lord Let us swear to free Our native soil; United under God, Who can defeat us?   From the Alps to Sicily, Legnano is everywhere; Every man has the heart and hand of Ferruccio The children of Italy Are all called Balilla; Every trumpet blast sounds the Vespers  Mercenary swords, they’re feeble reeds The Austrian eagle Has already lost its plumes The blood of Italy and the Polish blood It drank, along with the Cossack, But it burned its heart ",ITA
JE," Ours is an Island home Firm on rock and strong by sea Loyal and proud in history, Our thankful hearts are Raised to God for Jersey  The beauty of this land Long inspires both eye and mind Ours the privilege to guard its shore So help we God that Jersey might through grace endure",JEY
JM," Eternal Father bless our land, Guard us with Thy Mighty Hand, Keep us free from evil powers, Be our light through countless hours To our Leaders, Great Defender, Grant true wisdom from above  Justice, Truth be ours forever, Jamaica, Land we love Jamaica, Jamaica, Jamaica land we love  Teach us true respect for all, Stir response to duty’s call, strengthen us the weak to cherish, Give us vision lest we perish Knowledge send us Heavenly Father, Grant true wisdom from above ",JAM
JO,"Long live the King! Long live the King! His position is sublime, His banners waving in glory supreme",JOR
JP,"May thy peaceful reign last long! May it last for thousands of years, Until this tiny stone  Will grow into a massive rock And the moss will cover it all deep and thick",JPN
KE, O God of all creation Bless this our land and nation Justice be our shield and defender May we dwell in unity Peace and liberty Plenty be found within our borders  Let one and all arise With hearts both strong and true Service be our earnest endeavour And our homeland of Kenya Heritage of splendour Firm may we stand to defend  Let all with one accord In common bond united Build this our nation together And the glory of Kenya The fruit of our labour Fill every heart with thanksgiving,KEN
KG," High mountains, valleys and fields Are our native, holy land Our fathers lived amidst the Ala-Toe, Always saving their motherland  Come on, Kyrgyz people, Come on to freedom! Stand up and flourish! Create your fortune!  We are open for freedom for ages Friendship and unity are in our hearts the land of Kyrgyzstan, our native state, Shining in the rays of consent   Dreams of the people came true, And the flag of liberty is over us The heritage of our fathers we will Pass to our sons for the benefit of people ",KGZ
KH," Heaven protects our King And gives him happiness and glory To reign over our souls and our destinies, The one being, heir of the Sovereign builders, Guiding the proud old Kingdom  Temples are asleep in the forest, Remembering the splendour of Moha Nokor Like a rock the Khmer race is eternal Let us trust in the fate of Cambodia, The empire which challenges the ages  Songs rise up from the pagodas To the glory of holy Buddhist faith Let us be faithful to our ancestors’ belief Thus heaven will lavish its bounty Towards the ancient Khmer country, the Moha Nokor",KHM
KI," Stand up, Kiribati! Sing with jubilation! Prepare to accept responsibility And to help each other! Be steadfastly righteous! Love all our people! Be steadfastly righteous! Love all our people!  The attainment of contentment And peace by our people Will be achieved when all Our hearts beat as one, Love one another! Promote happiness and unity! Love one another! Promote happiness and unity!  We beseech You, O God, To protect and lead us In the days to come Help us with Your loving hand Bless our Government And all our people! Bless our Government And all our people!",KIR
KM,"The flag is flying, Announcing complete independence; The nation rises up Because of the faith we have In this our Comoria Let us always have devotion To love our Great Islands  We Comorians are of one blood, We Comorians are of one faith On these Islands we were born, These Islands brought us up May God always help us; Let us always have the firm resolve To love our fatherland, Love our religion and the world  The flag is flying From the Sixth of July The Nation rises up; Our Islands are lined up Maori and Anzuan,  Moheli and Comore, Let us always have devotion To love our Great Islands",COM
KN," O Land of Beauty! Our country where peace abounds, Thy children stand free On the strength of will and love With God in all our struggles, Saint Kitts and Nevis be A Nation bound together With a common destiny  As stalwarts we stand, For justice and liberty, With wisdom and truth We will serve and honour thee No sword nor spear can conquer, For God will sure defend His blessings shall for ever To posterity extend",KNA
KP," Let morning shine on the silver and gold of this land, Three thousand leagues packed with natural wealth My beautiful fatherland The glory of a wise people Brought up in a culture brilliant With a history five millennia long Let us devote our bodies and minds To supporting this Korea for ever  The firm will, bonded with truth, Nest for the spirit of labour, Embracing the atmosphere of Mount Paektu, Will go forth to all the world The country established by the will of the people, Breasting the raging waves with soaring strength Let us glorify for ever this Korea, Limitlessly rich and strong",PRK
KR," Until that day when the waters of the Eastern Sea run dry and Mt Baekdu is worn away, God protect and preserve our nation  Three thousand Li of splendid rivers and mountains, filled with Roses of Sharon; Great Korean people, stay true to the Great Korean way!  As the pine atop Mt Namsan stands firm, as if wrapped in armour, unchanged through wind and frost, so shall our resilient spirit   The Autumn sky is void and vast, high and cloudless; the bright moon is our heart, undivided and true   With this spirit and this mind, give all loyalty, in suffering or in joy, to the love of country ",KOR
KW,"Kuwait, Kuwait, Kuwait, My country, In peace live, in dignity, Your face bright, Your face bright, Your face bright with majesty, Kuwait, Kuwait, Kuwait, My country",KWT
